proper,HR,RA2000,DEJ2000,Vmag
96 G. Psc,222,0.806382,5.280615,5.74
NA,236,0.809777,-74.923438,5.09
NA,224,0.811373,7.585079,4.44
NA,223,0.813892,50.968168,4.9
NA,229,0.815758,-46.697648,6.28
NA,225,0.816308,16.940644,5.07
Achird,219,0.81826,57.815187,3.46
NA,228,0.82054,-24.136672,5.9
NA,227,0.823782,-13.561274,5.59
NA,232,0.825953,-23.362144,6.27
NA,226,0.830234,41.078911,4.53
NA,230,0.831433,27.710286,5.55
NA,239,0.834379,-43.394921,6.49
NA,235,0.835443,-10.644326,5.17
NA,234,0.838403,45.002258,6.13
NA,242,0.844768,-50.986816,5.24
NA,233,0.845442,64.247549,5.35
NA,238,0.849263,51.508032,6.38
NA,237,0.854551,61.805494,6.04
NA,243,0.85509,3.38502,6.39
NA,241,0.859386,51.571427,6.22
NA,245,0.86449,-43.70903,6.89
NA,252,0.873477,-69.503764,6.67
NA,247,0.877951,-24.005844,5.47
NA,246,0.881493,38.548831,6.7
NA,248,0.883471,-1.14426,4.78
NA,244,0.884511,61.12397,4.8
NA,251,0.886793,-24.776876,6.44
NA,249,0.891173,37.418209,6.07
NA,257,0.893839,-62.871352,5.73
NA,250,0.896547,52.689293,6.27
NA,255,0.904887,-8.740662,6.15
NA,254,0.909785,19.188417,5.8
NA,240,0.914667,83.707435,5.59
NA,258,0.916139,23.628335,5.46
NA,253,0.916715,58.972698,4.83
NA,270,0.916751,-69.527084,5.45
NA,256,0.918114,48.67852,6.28
NA,259,0.920742,24.557062,6.19
NA,263,0.928444,-7.347149,5.88
NA,268,0.932093,-27.775839,6.11
NA,262,0.93292,27.209381,6.08
NA,267,0.933747,-11.266526,5.35
NA,260,0.936931,57.996557,6.2
Castula,265,0.944432,59.181056,4.62
Cih,264,0.945143,60.71674,2.15
NA,269,0.945885,38.499345,3.86
NA,266,0.946377,60.362836,5.56
NA,261,0.948624,68.775657,6.39
Kui,271,0.953445,23.417648,4.4
NA,272,0.961012,45.839379,6.1
NA,274,0.963931,28.992217,5.44
NA,276,0.965142,13.695865,6.3
NA,275,0.970615,33.950885,5.99
NA,277,0.971915,21.404495,6.47
NA,281,0.972834,-60.696239,6.23
NA,273,0.975285,66.351793,5.97
NA,280,0.976766,-29.357449,4.3
NA,279,0.978852,-11.379975,5.62
NA,284,0.997135,6.483225,6.14
NA,282,1.000988,44.713243,5.69
NA,278,1.008587,70.982988,6.4
NA,288,1.02174,-38.916527,5.59
NA,295,1.033838,-57.002389,6.12
NA,287,1.038463,51.034938,6.48
NA,293,1.040674,-31.552005,5.5
NA,304,1.04525,-65.456102,6.25
NA,291,1.046971,31.804263,5.5
NA,299,1.046997,-46.397311,5.39
NA,290,1.048407,41.345157,5.95
NA,294,1.049058,7.890135,4.27
NA,289,1.050423,47.376158,6.46
NA,296,1.050705,-4.836601,5.4
NA,300,1.054918,-29.525848,6.28
NA,292,1.06028,61.074823,5.92
NA,301,1.063619,1.366846,6.06
NA,298,1.06733,52.502161,5.99
NA,297,1.072084,61.580184,5.83
NA,303,1.074339,29.658806,6.2
NA,305,1.07679,39.99111,6.77
NA,302,1.079665,51.009781,6.53
NA,307,1.081288,5.656262,6.03
NA,308,1.084821,14.946133,5.64
NA,315,1.093579,-9.979323,6.09
NA,310,1.094709,21.473181,5.33
NA,311,1.094919,21.465442,5.55
NA,313,1.097008,4.908372,6.35
NA,314,1.097622,4.90941,7.26
NA,322,1.101407,-46.718414,3.32
NA,317,1.10143,-9.839354,5.58
NA,320,1.102141,-23.992451,6.12
NA,309,1.106318,62.761389,6.52
NA,323,1.10738,-35.660665,6.61
NA,319,1.109341,12.956039,6.14
NA,316,1.116702,56.934972,6.41
NA,318,1.119292,53.498185,6.31
NA,325,1.120255,-23.996334,6.36
NA,332,1.121838,-61.775289,5.36
NA,329,1.129502,-9.78555,5.71
NA,331,1.129957,-41.486916,5.21
NA,328,1.132544,20.739113,5.56
NA,324,1.133559,43.942092,5.04
NA,327,1.133701,32.01213,6.23
NA,321,1.137477,54.92034,5.17
NA,330,1.1395,5.649819,5.51
Wurren,338,1.139742,-55.24576,3.94
NA,326,1.142627,58.263449,5.77
NA,334,1.143164,-10.182264,3.46
NA,285,1.145613,86.25709,4.24
NA,312,1.15341,80.011579,6.24
NA,335,1.158368,47.241792,4.26
Mirach,337,1.162194,35.620558,2.07
NA,339,1.163667,19.658408,5.57
NA,350,1.168715,-57.694419,6.41
NA,344,1.169845,15.673912,6.07
NA,346,1.169985,-8.906135,6.4
NA,340,1.17188,42.081475,5.67
NA,341,1.17207,25.457763,5.81
NA,347,1.175987,2.44567,5.97
NA,336,1.177579,68.778621,5.32
NA,343,1.185017,55.149901,4.34
NA,349,1.185213,31.424736,5.15
NA,348,1.186189,37.724121,5.8
NA,342,1.190428,64.202677,5.56
NA,351,1.190894,21.03465,4.66
NA,352,1.194342,30.089638,4.51
NA,345,1.194829,65.018854,5.57
NA,353,1.195419,-2.251079,5.93
NA,333,1.204601,79.673963,5.6
NA,358,1.206476,-30.802128,6.54
NA,355,1.209465,45.337531,6.13
NA,359,1.212616,-37.856479,5.95
